date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:10:22	40620/40620	---MC-	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2007:10:20%20GMT	https://itsverify.com/bf7f8e2	C:/My%20Web%20Sites/paypal1/itsverify.com/bf7f8e2.html	(from )
08:10:22	26/26	---M--	200	added ('OK')	text/plain	etag:%221a-5a2f7428ad967%22	https://itsverify.com/robots.txt		(from )
08:10:22	67961/67961	---M-Z	200	added ('OK')	application/javascript	etag:%2242639cce5db857005b8285dedd67553d%22	https://browser.sentry-cdn.com/6.4.1/bundle.min.js	C:/My%20Web%20Sites/paypal1/browser.sentry-cdn.com/6.4.1/bundle.min.js	(from https://itsverify.com/bf7f8e2)
08:10:23	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/paypal1/www.google-analytics.com/analytics.js	(from https://itsverify.com/bf7f8e2)
08:10:24	460/460	---M--	200	added ('OK')	image/png	etag:%22a95189660eca9e93f0893aa5dce724d4%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/img/gift-icon.png	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/img/gift-icon.png	(from https://itsverify.com/bf7f8e2)
08:10:24	121260/121260	---M--	200	added ('OK')	text/css	etag:%222f624089c65f12185e79925bc5a7fc42%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/bootstrap.min.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/bootstrap.min.css	(from https://itsverify.com/bf7f8e2)
08:10:24	27466/27466	---M--	200	added ('OK')	text/css	etag:%224fbd15cb6047af93373f4f895639c8bf%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/font-awesome.min.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/font-awesome.min.css	(from https://itsverify.com/bf7f8e2)
08:10:24	70815/70815	---M--	200	added ('OK')	text/css	etag:%22e9365fe85b7e4db79a87015e52c3db6c%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/material-design-iconic-font.min.css	(from https://itsverify.com/bf7f8e2)
08:10:24	5204/5204	---M--	200	added ('OK')	text/css	etag:%22fa10e481239e720ff6a5ca15e398fb21%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/magnific-popup.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/magnific-popup.css	(from https://itsverify.com/bf7f8e2)
08:10:25	2621/2621	---M--	200	added ('OK')	text/css	etag:%225814e9df4d9669a2d47b2841466b78ca%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/meanmenu.min.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/meanmenu.min.css	(from https://itsverify.com/bf7f8e2)
08:10:25	1729/1729	---M--	200	added ('OK')	text/css	etag:%2213b1b6672b8cfb0d9ae7f899f1c42875%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/slick.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/slick.css	(from https://itsverify.com/bf7f8e2)
08:10:25	1476/1476	---M--	200	added ('OK')	text/css	etag:%220371b5a2d50e985b09b7d337edc0dc9f%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/owl.carousel.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/owl.carousel.css	(from https://itsverify.com/bf7f8e2)
08:10:25	1665/1665	---M--	200	added ('OK')	text/css	etag:%22f23cf727e4fcca9a5470658da5e755c9%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/owl.theme.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/owl.theme.css	(from https://itsverify.com/bf7f8e2)
08:10:25	4476/4476	---M--	200	added ('OK')	text/css	etag:%22b1bdaeac4065bf67a7d7a06213192964%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/owl.transitions.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/owl.transitions.css	(from https://itsverify.com/bf7f8e2)
08:10:26	74096/74096	---M--	200	added ('OK')	text/css	etag:%224b3c9a441c4cb4e544eec9342826eedc%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/animate.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/animate.css	(from https://itsverify.com/bf7f8e2)
08:10:26	7708/7708	---M--	200	added ('OK')	text/css	etag:%221e9c0f3b13da66012ea079bc1509fef2%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/normalize.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/normalize.css	(from https://itsverify.com/bf7f8e2)
08:10:26	5728/5728	---M--	200	added ('OK')	text/css	etag:%227e7300a2de9600489b70901a7826a10d%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/main.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/main.css	(from https://itsverify.com/bf7f8e2)
08:10:27	34551/34551	---M--	200	added ('OK')	text/css	etag:%225b8791a98ab212fc26fad21b46acccdb%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/style.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/style.css	(from https://itsverify.com/bf7f8e2)
08:10:27	24293/24293	---M--	200	added ('OK')	text/css	etag:%2265d02c73cb03bfa097d7f8df6fed2b5e%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/responsive.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/responsive.css	(from https://itsverify.com/bf7f8e2)
08:10:27	1637/1637	---M--	200	added ('OK')	text/css	etag:%220e7a3ce1d1c19aa89097185922bf57af%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/color/color-1.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/color/color-1.css	(from https://itsverify.com/bf7f8e2)
08:10:27	1340/1340	---M--	200	added ('OK')	text/css	etag:%220a473f532eca1486e249e190e0a15427%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/facebook-comments.css	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/facebook-comments.css	(from https://itsverify.com/bf7f8e2)
08:10:28	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%2277cd70ed28686d58f12e857b7d31d2db%22	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/paypal1/connect.facebook.net/en_US/sdk.js	(from https://itsverify.com/bf7f8e2)
08:10:28	15514/15514	---M--	200	added ('OK')	application/x-javascript	etag:%22da941a6e1e1df098744318f6d25ba13a%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/vendor/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/vendor/modernizr-2.8.3.min.js	(from https://itsverify.com/bf7f8e2)
08:10:29	4111/4111	---MC-	530	error ('Unknown%20error')	text/html	date:Mon,%2029%20Nov%202021%2007:10:28%20GMT	http://cloud.cpabuild.com/uploads/14788677810dec87ef00cdbf1a18ffc941ec42da62.png	C:/My%20Web%20Sites/paypal1/cloud.cpabuild.com/uploads/14788677810dec87ef00cdbf1a18ffc941ec42da62.16.delayed	(from https://itsverify.com/bf7f8e2)
08:10:29	4240/4240	---M--	200	added ('OK')	image/jpg	etag:%22cf5360ffb6d65646bd1e4492217fecad%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289673fef93e6256f71978bec74c87ea8f0f3.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289673fef93e6256f71978bec74c87ea8f0f3.jpg	(from https://itsverify.com/bf7f8e2)
08:10:30	289/289	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Nov%202021%2008:53:09%20GMT	https://www.facebook.com/images/ufi/fbfeed/like.png	C:/My%20Web%20Sites/paypal1/www.facebook.com/images/ufi/fbfeed/like.png	(from https://itsverify.com/bf7f8e2)
08:10:30	4088/4088	---M--	200	added ('OK')	image/jpg	etag:%22bee5d6382d24709ef3e8daaf51073286%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955629ec46d8f9b4f44e11a37a90d0d2512.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955629ec46d8f9b4f44e11a37a90d0d2512.jpg	(from https://itsverify.com/bf7f8e2)
08:10:30	3252/3252	---M--	200	added ('OK')	image/jpg	etag:%2240d5f595fe489ff4008df775638c6714%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528962b1e4d1b64d2e64630f598a1e6e209527.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528962b1e4d1b64d2e64630f598a1e6e209527.jpg	(from https://itsverify.com/bf7f8e2)
08:10:30	4252/4252	---M--	200	added ('OK')	image/jpg	etag:%22781fac7dca612c6485f979c3e1afb1a5%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528961583b2dbf531b948eae7a4d8f97c97c7c.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528961583b2dbf531b948eae7a4d8f97c97c7c.jpg	(from https://itsverify.com/bf7f8e2)
08:10:31	6540/6540	---M--	200	added ('OK')	image/jpg	etag:%22de5a255c09fb050d30d40ece90a48d69%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289618fa240c8179fef6bbc3e1102e9e00275.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289618fa240c8179fef6bbc3e1102e9e00275.jpg	(from https://itsverify.com/bf7f8e2)
08:10:31	2852/2852	---M--	200	added ('OK')	image/jpg	etag:%226e71b53cd084e3357ee5de66b5597210%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955c7d6a0c83577fa0089b70eaebd5c64d6.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955c7d6a0c83577fa0089b70eaebd5c64d6.jpg	(from https://itsverify.com/bf7f8e2)
08:10:31	2941/2941	---M--	200	added ('OK')	image/jpg	etag:%22f96e57cb894215429234021808f1f9fa%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289648ff6aff90360352c91e9ab5fd564adeb.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289648ff6aff90360352c91e9ab5fd564adeb.jpg	(from https://itsverify.com/bf7f8e2)
08:10:31	4739/4739	---M--	200	added ('OK')	image/jpg	etag:%22f1dc1e147496516d5e13572242dedb6f%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528959daad143fce05613e163ee8d06a4ee092.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528959daad143fce05613e163ee8d06a4ee092.jpg	(from https://itsverify.com/bf7f8e2)
08:10:31	4294/4294	---M--	200	added ('OK')	image/jpg	etag:%22f3345dbbdb5a24e3470ff60fd8813382%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955eb9b970fb68f5193029245548fa365fb.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955eb9b970fb68f5193029245548fa365fb.jpg	(from https://itsverify.com/bf7f8e2)
08:10:32	4550/4550	---M--	200	added ('OK')	image/jpg	etag:%22f77ce27db156cc0ec9f938d1c817b4d3%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528957a2bbb415a5c68283110d0f656267ae52.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528957a2bbb415a5c68283110d0f656267ae52.jpg	(from https://itsverify.com/bf7f8e2)
08:10:32	3985/3985	---M--	200	added ('OK')	image/jpg	etag:%22f1a04c66143005a5c473bdfbe3dc644e%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528964ca399c687c1e6b531460d5a28288799f.jpg	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528964ca399c687c1e6b531460d5a28288799f.jpg	(from https://itsverify.com/bf7f8e2)
08:10:32	236/236	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Nov%202021%2009:09:03%20GMT	https://www.facebook.com/images/like/icons/fav.png	C:/My%20Web%20Sites/paypal1/www.facebook.com/images/like/icons/fav.png	(from https://itsverify.com/bf7f8e2)
08:10:36	36868/36868	---M--	200	added ('OK')	application/x-javascript	etag:%22c5b5b2fa19bd66ff23211d9f844e0131%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/bootstrap.min.js	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/bootstrap.min.js	(from https://itsverify.com/bf7f8e2)
08:10:36	23438/23438	---M--	200	added ('OK')	application/javascript	etag:%225b8e-5c163257277fa%22	http://dgu9g3a2kzqx2.cloudfront.net/public/external/locker.js	C:/My%20Web%20Sites/paypal1/dgu9g3a2kzqx2.cloudfront.net/public/external/locker.js	(from https://itsverify.com/bf7f8e2)
08:10:36	1249/1249	---M--	200	added ('OK')	application/x-javascript	etag:%22c33404ff582af3566828fa01cea710a4%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/ajax-mail.js	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/ajax-mail.js	(from https://itsverify.com/bf7f8e2)
08:10:36	95992/95992	---M--	200	added ('OK')	application/x-javascript	etag:%22f03e5a3bf534f4a738bc350631fd05bd%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/vendor/jquery-1.11.3.min.js	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/vendor/jquery-1.11.3.min.js	(from https://itsverify.com/bf7f8e2)
08:10:36	218195/218195	---M--	200	added ('OK')	application/x-javascript	etag:%22dfee7f83589ee1aad4b164c55a8763e8%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/plugins.js	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/plugins.js	(from https://itsverify.com/bf7f8e2)
08:10:36	8079/8079	---M--	200	added ('OK')	application/x-javascript	etag:%22ebd943947f8753020dc4b01aca4dac93%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/main.js	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/js/main.js	(from https://itsverify.com/bf7f8e2)
08:10:36	3765/3765	---M--	200	added ('OK')	application/x-javascript	etag:%22fa82e93bfc35e1846cce4175f02d7d48%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/md5.js	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/md5.js	(from https://itsverify.com/bf7f8e2)
08:10:38	171/171	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2029%20Nov%202021%2007:10:36%20GMT	http://s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/paypal1/s7.addthis.com/js/300/addthis_widget.2b.delayed	(from https://itsverify.com/bf7f8e2)
08:10:39	361292/361292	---M-Z	200	added ('OK')	application/javascript	etag:%225f971164-5834c%22	https://s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/paypal1/s7.addthis.com/js/300/addthis_widget.js	(from https://itsverify.com/bf7f8e2)
08:10:39	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2029%20Nov%202021%2007:10:38%20GMT	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/grabbing.png	C:/My%20Web%20Sites/paypal1/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/grabbing.png	(from https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/apptech/css/owl.carousel.css)
